codigo_postal,nombre_asentamiento,tipo_asentamiento,municipio
01000,San Ángel,Colonia,Álvaro Obregón
01010,Los Alpes,Colonia,Álvaro Obregón
01020,Guadalupe Inn,Colonia,Álvaro Obregón
01030,Axotla,Pueblo,Álvaro Obregón
01030,Florida,Colonia,Álvaro Obregón
01040,Campestre,Colonia,Álvaro Obregón
01049,Tlacopac,Pueblo,Álvaro Obregón
01050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón
01060,Altavista,Colonia,Álvaro Obregón
01060,San Ángel Inn,Colonia,Álvaro Obregón
01070,Chimalistac,Colonia,Álvaro Obregón
01080,Progreso Tizapan,Colonia,Álvaro Obregón
01089,Ermita Tizapan,Colonia,Álvaro Obregón
01090,La Otra Banda,Barrio,Álvaro Obregón
01090,Loreto,Barrio,Álvaro Obregón
01090,Tizapan,Pueblo,Álvaro Obregón
01100,Pólvora,Colonia,Álvaro Obregón
01109,La Conchita,Colonia,Álvaro Obregón
01110,Belém de las Flores,Colonia,Álvaro Obregón
01110,El Capulín,Colonia,Álvaro Obregón
01110,Ampliación El Capulín,Colonia,Álvaro Obregón
01110,Liberales de 1857,Colonia,Álvaro Obregón
01120,Acueducto,Colonia,Álvaro Obregón
01120,Cove,Colonia,Álvaro Obregón
01120,Hidalgo,Colonia,Álvaro Obregón
01120,Las Américas,Colonia,Álvaro Obregón
01125,Ampliación Acueducto,Colonia,Álvaro Obregón
01130,Paraíso,Colonia,Álvaro Obregón
01130,Molino de Santo Domingo,Colonia,Álvaro Obregón
01130,Real del Monte,Colonia,Álvaro Obregón
01139,Reacomodo Pino Suárez,Colonia,Álvaro Obregón
01140,Bellavista,Colonia,Álvaro Obregón
01140,José Maria Pino Suárez,Colonia,Álvaro Obregón
01150,Cristo Rey,Colonia,Álvaro Obregón
01150,Tolteca,Colonia,Álvaro Obregón
01160,Bosque,Colonia,Álvaro Obregón
01160,Isidro Fabela,Colonia,Álvaro Obregón
01160,Maria G. de García Ruiz,Colonia,Álvaro Obregón
01160,1a Victoria,Colonia,Álvaro Obregón
01170,Abraham M. González,Colonia,Álvaro Obregón
01180,Carola,Colonia,Álvaro Obregón
01180,8 de Agosto,Colonia,Álvaro Obregón
01180,San Pedro de los Pinos,Colonia,Álvaro Obregón
01200,Arturo Martínez,Colonia,Álvaro Obregón
01210,Santa Fe,Pueblo,Álvaro Obregón
01219,Lomas de Santa Fe,Colonia,Álvaro Obregón
01220,Bonanza,Colonia,Álvaro Obregón
01220,Cuevitas,Colonia,Álvaro Obregón
01220,El Cuernito,Colonia,Álvaro Obregón
01220,Mártires de Tacubaya,Colonia,Álvaro Obregón
01220,Zenón Delgado,Colonia,Álvaro Obregón
01220,La Estrella,Colonia,Álvaro Obregón
01230,Campo de Tiro los Gamitos,Colonia,Álvaro Obregón
01230,Los Gamitos,Colonia,Álvaro Obregón
01230,Tlapechico,Colonia,Álvaro Obregón
01230,El Piru Santa Fe,Colonia,Álvaro Obregón
01230,El Piru 2a Ampliación,Colonia,Álvaro Obregón
01239,La Huerta,Colonia,Álvaro Obregón
01240,Pueblo Nuevo,Colonia,Álvaro Obregón
01250,El Árbol,Colonia,Álvaro Obregón
01250,Ladera,Colonia,Álvaro Obregón
01250,Lomas de Nuevo México,Colonia,Álvaro Obregón
01250,Margarita Maza de Juárez,Colonia,Álvaro Obregón
01250,Tecolalco,Colonia,Álvaro Obregón
01259,Ampliación La Cebada,Colonia,Álvaro Obregón
01259,La Mexicana 2a Ampliación,Colonia,Álvaro Obregón
01260,Calzada Jalalpa,Colonia,Álvaro Obregón
01260,La Mexicana,Colonia,Álvaro Obregón
01260,Ampliación La Mexicana,Colonia,Álvaro Obregón
01260,La Palmita,Colonia,Álvaro Obregón
01260,Liberación Proletaria,Colonia,Álvaro Obregón
01269,1a Sección Cañada,Colonia,Álvaro Obregón
01269,2a Sección Cañada,Colonia,Álvaro Obregón
01270,El Tejocote,Colonia,Álvaro Obregón
01270,La Presa,Colonia,Álvaro Obregón
01270,Golondrinas,Colonia,Álvaro Obregón
01270,Golondrinas 1a Sección,Colonia,Álvaro Obregón
01270,Golondrinas 2a Sección,Colonia,Álvaro Obregón
01270,Lomas de Capula,Colonia,Álvaro Obregón
01275,Villa Solidaridad,Colonia,Álvaro Obregón
01276,El Pirul,Colonia,Álvaro Obregón
01278,Desarrollo Urbano,Colonia,Álvaro Obregón
01279,Lomas de Becerra,Colonia,Álvaro Obregón
01280,Arvide,Colonia,Álvaro Obregón
01280,El Pocito,Colonia,Álvaro Obregón
01280,Francisco Villa,Colonia,Álvaro Obregón
01280,La Joya,Colonia,Álvaro Obregón
01285,El Rodeo,Colonia,Álvaro Obregón
01289,Reacomodo El Cuernito,Colonia,Álvaro Obregón
01290,Piloto Adolfo López Mateos,Colonia,Álvaro Obregón
01290,Presidentes,Colonia,Álvaro Obregón
01296,Jalalpa Tepito 2a Ampliación,Colonia,Álvaro Obregón
01296,Ampliación Jalalpa,Colonia,Álvaro Obregón
01296,Jalalpa Tepito,Colonia,Álvaro Obregón
01298,Ampliación Piloto Adolfo López Mateos,Colonia,Álvaro Obregón
01299,1a Ampliación Presidentes,Colonia,Álvaro Obregón
01299,2a Ampliación Presidentes,Colonia,Álvaro Obregón
01310,San Gabriel,Colonia,Álvaro Obregón
01320,Carlos A. Madrazo,Colonia,Álvaro Obregón
01330,Paseo de las Lomas,Colonia,Álvaro Obregón
01340,Bejero del Pueblo Santa Fe,Colonia,Álvaro Obregón
01376,Santa Fe,Colonia,Álvaro Obregón
01376,Santa Fe Peña Blanca,Colonia,Álvaro Obregón
01376,Santa Fe La Loma,Colonia,Álvaro Obregón
01376,Santa Fe Centro Ciudad,Colonia,Álvaro Obregón
01377,Jalalpa El Grande,Colonia,Álvaro Obregón
01389,Santa Fe Tlayapaca,Colonia,Álvaro Obregón
01400,Olivar del Conde 1a Sección,Colonia,Álvaro Obregón
01400,Preconcreto,Colonia,Álvaro Obregón
01407,Galeana,Colonia,Álvaro Obregón
01408,Olivar del Conde 2a Sección,Colonia,Álvaro Obregón
01410,Barrio Norte,Colonia,Álvaro Obregón
01410,Palmas,Colonia,Álvaro Obregón
01419,Minas Cristo Rey,Colonia,Álvaro Obregón
01420,Sacramento,Colonia,Álvaro Obregón
01420,Santa María Nonoalco,Barrio,Álvaro Obregón
01430,Colina del Sur,Colonia,Álvaro Obregón
01450,Hogar y Redención,Colonia,Álvaro Obregón
01460,Alfonso XIII,Colonia,Álvaro Obregón
01470,Alfalfar,Barrio,Álvaro Obregón
01470,Molino de Rosas,Colonia,Álvaro Obregón
01480,Lomas de Plateros,Colonia,Álvaro Obregón
01490,La Cascada,Colonia,Álvaro Obregón
01500,Santa Lucía,Pueblo,Álvaro Obregón
01500,Miguel Gaona Armenta,Colonia,Álvaro Obregón
01509,Santa Lucía Chantepec,Pueblo,Álvaro Obregón
01510,Garcimarrero,Colonia,Álvaro Obregón
01510,La Araña,Colonia,Álvaro Obregón
01510,Los Cedros,Colonia,Álvaro Obregón
01520,Ampliación Los Pirules,Colonia,Álvaro Obregón
01520,Estado de Hidalgo,Colonia,Álvaro Obregón
01520,Ampliación Estado de Hidalgo,Colonia,Álvaro Obregón
01520,Piru Santa Lucía,Colonia,Álvaro Obregón
01520,El Politoco,Colonia,Álvaro Obregón
01530,Corpus Christy,Colonia,Álvaro Obregón
01538,Tepopotla,Colonia,Álvaro Obregón
01539,Acuilotla,Colonia,Álvaro Obregón
01539,Cooperativa Unión Olivos,Colonia,Álvaro Obregón
01540,Balcones de Cehuayo,Colonia,Álvaro Obregón
01540,Cehuaya,Colonia,Álvaro Obregón
01540,Llano Redondo,Colonia,Álvaro Obregón
01540,Punta de Cehuaya,Colonia,Álvaro Obregón
01548,Villa Progresista,Colonia,Álvaro Obregón
01549,Dos Ríos del Pueblo Santa Lucía,Colonia,Álvaro Obregón
01550,Tepeaca,Colonia,Álvaro Obregón
01550,Ampliación Tepeaca,Colonia,Álvaro Obregón
01550,Rinconada Las Cuevitas,Colonia,Álvaro Obregón
01560,Ave Real,Colonia,Álvaro Obregón
01560,Canutillo,Colonia,Álvaro Obregón
01560,Canutillo 3a Sección,Colonia,Álvaro Obregón
01560,Canutillo 2a Sección,Colonia,Álvaro Obregón
01566,Hueytlale,Colonia,Álvaro Obregón
01569,Reacomodo Valentín Gómez Farías,Colonia,Álvaro Obregón
01588,Tarango,Colonia,Álvaro Obregón
01590,El Rincón,Colonia,Álvaro Obregón
01600,Merced Gómez,Colonia,Álvaro Obregón
01610,Colinas de Tarango,Colonia,Álvaro Obregón
01610,Profesor J. Arturo López Martínez,Colonia,Álvaro Obregón
01618,Arcos Centenario,Colonia,Álvaro Obregón
01618,Ex-Hacienda de Tarango,Colonia,Álvaro Obregón
01619,Rinconada de Tarango,Colonia,Álvaro Obregón
01619,La Martinica,Colonia,Álvaro Obregón
01620,Lomas de Tarango,Colonia,Álvaro Obregón
01630,Lomas de Puerta Grande,Colonia,Álvaro Obregón
01630,Puerta Grande,Colonia,Álvaro Obregón
01630,Los Juristas,Colonia,Álvaro Obregón
01640,Herón Proal,Colonia,Álvaro Obregón
01645,Ponciano Arriaga,Colonia,Álvaro Obregón
01650,La Milagrosa,Colonia,Álvaro Obregón
01650,Palmas Axotitla,Colonia,Álvaro Obregón
01650,Tlacuitlapa,Colonia,Álvaro Obregón
01650,Ampliación Tlacuitlapa,Colonia,Álvaro Obregón
01650,2o Reacomodo Tlacuitlapa,Colonia,Álvaro Obregón
01650,El Ruedo,Colonia,Álvaro Obregón
01650,Santa Lucía Chantepec,Colonia,Álvaro Obregón
01700,La Joyita del Pueblo Tetelpan,Colonia,Álvaro Obregón
01700,Ocotillos del Pueblo Tetelpan,Colonia,Álvaro Obregón
01700,San Agustín del Pueblo Tetelpan,Colonia,Álvaro Obregón
01700,2a Del Moral del Pueblo Tetelpan,Colonia,Álvaro Obregón
01700,Tecalcapa del Pueblo Tetelpan,Colonia,Álvaro Obregón
01700,Tetelpan,Pueblo,Álvaro Obregón
01708,El Encino del Pueblo Tetelpan,Colonia,Álvaro Obregón
01708,El Mirador del Pueblo Tetelpan,Colonia,Álvaro Obregón
01710,Las Águilas,Colonia,Álvaro Obregón
01710,Ampliación Alpes,Colonia,Álvaro Obregón
01720,Lomas de Guadalupe,Colonia,Álvaro Obregón
01729,Alcantarilla,Colonia,Álvaro Obregón
01730,Lomas de las Águilas,Colonia,Álvaro Obregón
01730,Puente Colorado,Colonia,Álvaro Obregón
01740,La Peñita del Pueblo Tetelpan,Colonia,Álvaro Obregón
01740,San Clemente Norte,Colonia,Álvaro Obregón
01740,San Clemente Sur,Colonia,Álvaro Obregón
01750,Las Águilas 1a Sección,Colonia,Álvaro Obregón
01750,Las Águilas 2o Parque,Colonia,Álvaro Obregón
01750,Las Águilas 3er Parque,Colonia,Álvaro Obregón
01759,Ampliación Las Águilas,Colonia,Álvaro Obregón
01760,Atlamaya,Colonia,Álvaro Obregón
01760,Flor de María,Colonia,Álvaro Obregón
01760,La Herradura del Pueblo Tetelpan,Colonia,Álvaro Obregón
01770,La Angostura,Colonia,Álvaro Obregón
01770,San José del Olivar,Colonia,Álvaro Obregón
01780,Olivar de los Padres,Colonia,Álvaro Obregón
01780,Tizampampano del Pueblo Tetelpan,Colonia,Álvaro Obregón
01789,Miguel Hidalgo,Colonia,Álvaro Obregón
01790,Lomas de los Ángeles del Pueblo Tetelpan,Colonia,Álvaro Obregón
01790,Lomas de San Ángel Inn,Colonia,Álvaro Obregón
01800,San Bartolo Ameyalco,Pueblo,Álvaro Obregón
01807,Rancho San Francisco Pueblo San Bartolo Ameyalco,Colonia,Álvaro Obregón
01810,Villa Verdún,Colonia,Álvaro Obregón
01820,Lomas Axomiatla,Colonia,Álvaro Obregón
01820,Ejido San Mateo,Colonia,Álvaro Obregón
01830,Santa Rosa Xochiac,Pueblo,Álvaro Obregón
01840,Torres de Potrero,Colonia,Álvaro Obregón
01849,Rincón de la Bolsa,Colonia,Álvaro Obregón
01849,Rancho del Carmen del Pueblo San Bartolo Ameyalco,Colonia,Álvaro Obregón
01857,Lomas de Chamontoya,Colonia,Álvaro Obregón
01859,Tlacoyaque,Colonia,Álvaro Obregón
01860,Lomas de La Era,Colonia,Álvaro Obregón
01863,Lomas del Capulín,Colonia,Álvaro Obregón
01870,Lomas de los Cedros,Colonia,Álvaro Obregón
01900,Jardines del Pedregal,Colonia,Álvaro Obregón
01904,San Jerónimo Aculco,Colonia,Álvaro Obregón
02000,Centro de Azcapotzalco,Colonia,Azcapotzalco
02010,Los Reyes,Barrio,Azcapotzalco
02010,San Rafael,Colonia,Azcapotzalco
02010,Nuevo Barrio San Rafael,Barrio,Azcapotzalco
02020,San Marcos,Barrio,Azcapotzalco
02020,Santo Tomás,Colonia,Azcapotzalco
02040,Del Maestro,Colonia,Azcapotzalco
02040,San Sebastián,Colonia,Azcapotzalco
02050,Libertad,Colonia,Azcapotzalco
02050,Santa María Malinalco,Pueblo,Azcapotzalco
02060,Sindicato Mexicano de Electricistas,Colonia,Azcapotzalco
02060,Un Hogar Para Cada Trabajador,Colonia,Azcapotzalco
02070,Del Recreo,Colonia,Azcapotzalco
02070,Nextengo,Barrio,Azcapotzalco
02080,Clavería,Colonia,Azcapotzalco
02080,Sector Naval,Colonia,Azcapotzalco
02090,San Álvaro,Colonia,Azcapotzalco
02099,Ángel Zimbrón,Colonia,Azcapotzalco
02100,El Rosario,Colonia,Azcapotzalco
02120,San Martín Xochinahuac,Pueblo,Azcapotzalco
02128,Nueva El Rosario,Colonia,Azcapotzalco
02129,Nueva España,Colonia,Azcapotzalco
02130,Tierra Nueva,Colonia,Azcapotzalco
02140,Santa Inés,Colonia,Azcapotzalco
02150,Pasteros,Colonia,Azcapotzalco
02160,Santo Domingo,Pueblo,Azcapotzalco
02200,Reynosa Tamaulipas,Colonia,Azcapotzalco
02230,Santa Bárbara,Pueblo,Azcapotzalco
02240,San Andrés,Barrio,Azcapotzalco
02240,San Andrés,Pueblo,Azcapotzalco
02250,Santa Catarina,Pueblo,Azcapotzalco
02300,Industrial Vallejo,Colonia,Azcapotzalco
02310,Ferrería,Colonia,Azcapotzalco
02320,San Andrés de las Salinas,Pueblo,Azcapotzalco
02330,Huautla de las Salinas,Barrio,Azcapotzalco
02340,Santa Cruz de las Salinas,Colonia,Azcapotzalco
02360,Las Salinas,Colonia,Azcapotzalco
02400,San Juan Tlihuaca,Pueblo,Azcapotzalco
02410,Prados del Rosario,Colonia,Azcapotzalco
02420,Ex-Hacienda El Rosario,Colonia,Azcapotzalco
02440,Providencia,Colonia,Azcapotzalco
02459,Tezozomoc,Colonia,Azcapotzalco
02460,La Preciosa,Colonia,Azcapotzalco
02470,Ampliación Petrolera,Colonia,Azcapotzalco
02480,Petrolera,Colonia,Azcapotzalco
02490,San Mateo,Barrio,Azcapotzalco
02500,Unidad Cuitláhuac,Colonia,Azcapotzalco
02519,El Jagüey,Colonia,Azcapotzalco
02520,Estación Pantaco,Equipamiento,Azcapotzalco
02530,Jardín Azpeitia,Colonia,Azcapotzalco
02600,Pro-Hogar,Colonia,Azcapotzalco
02630,Coltongo,Barrio,Azcapotzalco
02630,Coltongo,Colonia,Azcapotzalco
02640,Monte Alto,Colonia,Azcapotzalco
02650,Trabajadores de Hierro,Colonia,Azcapotzalco
02660,Euzkadi,Colonia,Azcapotzalco
02670,Cosmopolita,Colonia,Azcapotzalco
02680,Potrero del Llano,Colonia,Azcapotzalco
02700,San Miguel Amantla,Pueblo,Azcapotzalco
02710,San Pedro Xalpa,Pueblo,Azcapotzalco
02719,Ampliación San Pedro Xalpa,Colonia,Azcapotzalco
02720,San Antonio,Colonia,Azcapotzalco
02720,San Bartolo Cahualtongo,Pueblo,Azcapotzalco
02730,San Francisco Tetecala,Pueblo,Azcapotzalco
